Hospital Name,Hospital Type,Hospital Ownership,Emergency Services
LINCOLN MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
ERLANGER MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
HARDIN MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
FORT LOUDOUN MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
METRO NASHVILLE GENERAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
HUMBOLDT GENERAL HOSPITAL INC,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TENNOVA HEALTHCARE,Acute Care Hospitals,Proprietary,Yes
FORT SANDERS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BAPTIST MEMORIAL HOSPITAL UNION CITY,Acute Care Hospitals,Proprietary,Yes
BAPTIST MEMORIAL HOSPITAL TIPTON,Acute Care Hospitals,Voluntary non-profit - Church,Yes
HENRY COUNTY MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
BAPTIST HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HERITAGE MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MEMPHIS VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
CUMBERLAND RIVER HOSPITAL,Acute Care Hospitals,Proprietary,Yes
HARTON REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BAPTIST REHABILITATION GERMANTOWN,Acute Care Hospitals,Voluntary non-profit - Private,No
STONES RIVER HOSPITAL AND DEKALB COMMUNITY HOSP,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SUMMIT MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
RIVER PARK HOSPITAL,Acute Care Hospitals,Proprietary,Yes
REGIONAL MEDICAL CENTER AT MEMPHIS,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
PARKRIDGE MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
DELTA MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
CENTENNIAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
HEALTHSOUTH CHATTANOOGA REHAB HOSPITAL,Acute Care Hospitals,Government - State,No
METHODIST HEALTHCARE FAYETTE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MOUNTAIN HOME VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
PARKWEST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HAYWOOD PARK COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
CROCKETT HOSPITAL,Acute Care Hospitals,Proprietary,Yes
INDIAN PATH MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JELLICO COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
BOLIVAR GENERAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
MCKENZIE REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ST FRANCIS HOSPITAL,Acute Care Hospitals,Proprietary,Yes
FRANKLIN WOODS COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SKYRIDGE MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
RIVERVIEW REGIONAL MEDICAL CENTER NORTH,Acute Care Hospitals,Government - Local,Yes
LIVINGSTON REGIONAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
REGIONAL HOSPITAL OF JACKSON,Acute Care Hospitals,Proprietary,Yes
VA MIDDLE TENNESSEE HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
WHITE COUNTY COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
UNIVERSITY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HENDERSONVILLE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SOUTHERN HILLS MEDICAL CTR,Acute Care Hospitals,Proprietary,Yes
STONES RIVER HOSPITAL & DEKALB COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
THE CENTER FOR SPINAL SURGERY,Acute Care Hospitals,Government - Federal,No
STONECREST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SAINT FRANCIS BARTLETT MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
HICKMAN COMMUNITY HEALTH SERVICES,Critical Access Hospitals,Voluntary non-profit - Other,Yes
TROUSDALE MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Other,Yes
JOHNSON COUNTY COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MACON COUNTY GENERAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
RIVERVIEW REGIONAL MEDICAL CENTER SOUTH,Critical Access Hospitals,Proprietary,Yes
MEDICAL CENTER OF MANCHESTER,Critical Access Hospitals,Proprietary,Yes
MARSHALL MEDICAL CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes
RHEA MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
CENTENNIAL MEDICAL CENTER OF ASHLAND CITY,Critical Access Hospitals,Proprietary,Yes
PATIENTS' CHOICE MEDICAL CENTER OF ERIN,Critical Access Hospitals,Proprietary,Yes
WELLMONT HANCOCK COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
LAUDERDALE COMMUNITY HOSPITAL,Critical Access Hospitals,Proprietary,Yes
COPPER BASIN MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Other,Yes
CAMDEN GENERAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
SCOTT COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
PROVIDENCE MEMORIAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
MEMORIAL HERMANN BAPTIST ORANGE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PETERSON REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
CHILDREN'S HOSPITAL -SCOTT & WHITE HEALTHCARE,Acute Care Hospitals,Voluntary non-profit - Other,Yes
UNITED REGIONAL HEALTH CARE SYSTEM,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST JOSEPH REGIONAL HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
PARKLAND HEALTH AND HOSPITAL SYSTEM,Acute Care Hospitals,Government - Hospital District or Authority,Yes
UNIVERSITY OF TEXAS MEDICAL BRANCH GAL,Acute Care Hospitals,Government - State,Yes
BAYLOR UNIVERSITY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
CITIZENS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
UNIVERSITY MEDICAL CENTER OF EL PASO,Acute Care Hospitals,Government - Hospital District or Authority,Yes
"VHS BROWNSVILLE HOSPITAL COMPANY, LLC",Acute Care Hospitals,Proprietary,Yes
LAREDO MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
GOOD SHEPHERD MEDICAL CENTER MARSHALL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
VHS HARLINGEN HOSPITAL COMPANY LLC,Acute Care Hospitals,Voluntary non-profit - Church,Yes
CHRISTUS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ST JOSEPH MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes
GOOD SHEPHERD MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JPS HEALTH NETWORK,Acute Care Hospitals,Government - Hospital District or Authority,Yes
COVENANT MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
PROVIDENCE HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UT SOUTHWESTERN UNIVERSITY HOSPITAL,Acute Care Hospitals,Government - State,Yes
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,Acute Care Hospitals,Voluntary non-profit - Church,Yes
METHODIST DALLAS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
GOODALL WITCHER HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SCOTT & WHITE MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ROLLING PLAINS MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SETON MEDICAL CENTER AUSTIN,Acute Care Hospitals,Voluntary non-profit - Church,Yes
BAPTIST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MEMORIAL HERMANN TEXAS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BRAZOSPORT REGIONAL HEALTH SYSTEM,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COGDELL MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
ANSON GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BAYLOR MEDICAL CENTER AT IRVING,Acute Care Hospitals,Proprietary,Yes
TITUS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CHRISTUS SPOHN HOSPITAL BEEVILLE,Acute Care Hospitals,Voluntary non-profit - Church,Yes
EAST TEXAS MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
GRAHAM REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - State,Yes
NORTH HILLS HOSPITAL,Acute Care Hospitals,Proprietary,Yes
NORTH TEXAS MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
FORT DUNCAN MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
BAYSHORE MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
PAMPA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
HILLCREST BAPTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MOTHER FRANCES HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
GUADALUPE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LAS PALMAS MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
CONNALLY MEMORIAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SOUTH TEXAS HEALTH SYSTEM,Acute Care Hospitals,Proprietary,Yes
RENAISSANCE HOSPITAL GROVES,Acute Care Hospitals,Proprietary,Yes
UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE,Acute Care Hospitals,Government - Local,Yes
KNAPP MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NIX HEALTH CARE SYSTEM,Acute Care Hospitals,Proprietary,No
MEDICAL CENTER HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,No
MIDLAND MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TEXAS HEALTH HARRIS METHODIST FORT WORTH,Acute Care Hospitals,Voluntary non-profit - Church,Yes
BAYLOR ALL SAINTS MEDICAL CENTER AT FW,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SETON SMITHVILLE REGIONAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,Acute Care Hospitals,Government - Hospital District or Authority,Yes
DETAR HOSPITAL NAVARRO,Acute Care Hospitals,Proprietary,Yes
TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE,Acute Care Hospitals,Voluntary non-profit - Church,Yes
METROPLEX HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
VAL VERDE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HEREFORD REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
GRACE MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
CHRISTUS SPOHN HOSPITAL KLEBERG,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SOUTH TEXAS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MISSION REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
UVALDE MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
PECOS COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
MEMORIAL HERMANN HOSPITAL SYSTEM,Acute Care Hospitals,Voluntary non-profit - Private,No
TRINITY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ETMC CLARKSVILLE,Acute Care Hospitals,Voluntary non-profit - Other,Yes
HILL REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ST LUKES EPISCOPAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,No
EAST TEXAS MEDICAL CENTER JACKSONVILLE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PARIS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
WADLEY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
WEATHERFORD REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
NORTHWEST TEXAS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ETMC CARTHAGE,Acute Care Hospitals,Government - Local,Yes
MEMORIAL HEALTH SYSTEM OF EAST TEXAS- LUFKIN,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UNIVERSITY HEALTH SYSTEM,Acute Care Hospitals,Government - Hospital District or Authority,Yes
GULF COAST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SCOTT & WHITE HOSPITAL-LLANO,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MOORE COUNTY HOSPITAL DISTRICT,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CONROE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
HENDRICK MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BAPTIST ST ANTHONYS HEALTH SYSTEM-BAPTIST CAMPUS,Acute Care Hospitals,Government - Federal,Yes
COMANCHE COUNTY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
HOPKINS COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CHRISTUS SANTA ROSA HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
FAITH COMMUNITY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
HAMLIN MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
BELLVILLE GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LAKE WHITNEY MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
WISE REGIONAL HEALTH SYSTEM,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CENTRAL TEXAS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
BAYLOR MEDICAL CENTER AT GARLAND,Acute Care Hospitals,Government - Federal,Yes
COZBY-GERMANY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HARRIS COUNTY HOSPITAL DISTRICT,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,Acute Care Hospitals,Voluntary non-profit - Church,Yes
FRIO REGIONAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CLEVELAND REGIONAL MEDICAL CTR,Acute Care Hospitals,Proprietary,No
COLLEGE STATION MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
STAMFORD MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
VISTA HOSPITAL OF DALLAS,Acute Care Hospitals,Proprietary,Not Available
TEXOMA MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
OAKBEND MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SAN ANGELO COMMUNITY MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MEMORIAL HERMANN BAPTIST BEAUMONT HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
HUNTSVILLE MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
FALLS COMMUNITY HOSPITAL AND CLINIC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HUNT REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
"METHODIST HOSPITAL,THE",Acute Care Hospitals,Voluntary non-profit - Private,Yes
CHILDRESS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
COLUMBUS COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BAYLOR MEDICAL CENTER AT WAXAHACHIE,Acute Care Hospitals,Voluntary non-profit - Other,Yes
EAST TEXAS MEDICAL CENTER MOUNT VERNON,Acute Care Hospitals,Voluntary non-profit - Other,Yes
DALLAS MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
METHODIST HOSPITAL,Acute Care Hospitals,Proprietary,Yes
EAST TEXAS MEDICAL CENTER ATHENS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MEMORIAL MEDICAL CENTER LIVINGSTON,Acute Care Hospitals,Government - Local,Yes
BROWNFIELD REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
PARKVIEW REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
MEDICAL CENTER OF MCKINNEY,Acute Care Hospitals,Proprietary,Yes
EASTLAND MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,Acute Care Hospitals,Voluntary non-profit - Church,Yes
BAYLOR MEDICAL CENTER AT UPTOWN,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAN JACINTO METHODIST HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ST DAVIDS MEDICAL CENTER,Acute Care Hospitals,Proprietary,No
COLORADO FAYETTE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
RIVERSIDE GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,No
NAVARRO REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
GLEN ROSE MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TYLER COUNTY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MATAGORDA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TEXAS HEALTH PRESBYTERIAN HOSPITAL-WNJ,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ETMC HENDERSON,Acute Care Hospitals,Voluntary non-profit - Other,Yes
WOODLAND HEIGHTS MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE,Acute Care Hospitals,Proprietary,Yes
MEDICAL ARTS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BOWIE MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
STEPHENS MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
THE MEDICAL CENTER OF SOUTHEAST TEXAS,Acute Care Hospitals,Proprietary,Yes
MAINLAND MEDICAL CENTER,Acute Care Hospitals,Proprietary,Not Available
METHODIST RICHARDSON MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
COVENANT HOSPITAL PLAINVIEW,Acute Care Hospitals,Voluntary non-profit - Church,No
ABILENE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
BAYLOR REGIONAL MEDICAL CENTER AT GRAPEVINE,Acute Care Hospitals,Voluntary non-profit - Other,Yes
PALO PINTO GENERAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SHANNON MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CHRISTUS JASPER MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
HEMPHILL COUNTY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
EAST TEXAS MEDICAL CENTER CROCKETT,Acute Care Hospitals,Voluntary non-profit - Private,Yes
WILBARGER GENERAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SEYMOUR HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
BROWNWOOD REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
ANGLETON-DANBURY MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
LAKE GRANBURY MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
CUERO COMMUNITY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
HILL COUNTRY MEMORIAL HOSPITAL INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CARE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
VA AMARILLO HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ATLANTA MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CLEAR LAKE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
DIMMIT COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SPRING BRANCH MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
DENTON REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
HOUSTON NORTHWEST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD,Acute Care Hospitals,Voluntary non-profit - Church,Yes
VA WEST TEXAS HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
NOCONA GENERAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
DOCTORS HOSPITAL OF LAREDO,Acute Care Hospitals,Proprietary,Yes
WEST HOUSTON MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MEDICAL CITY DALLAS HOSPITAL,Acute Care Hospitals,Proprietary,Yes
MEDICAL CENTER OF PLANO,Acute Care Hospitals,Proprietary,Yes
SCENIC MOUNTAIN MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
STARR COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
NACOGDOCHES MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
EAST TEXAS MEDICAL CENTER - FAIRFIELD,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PARK PLAZA HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ODESSA REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
VALLEY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SIERRA MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MEDICAL CENTER OF LEWISVILLE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM),ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
TOMBALL REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
PLAZA MEDICAL CENTER OF FORT WORTH,Acute Care Hospitals,Proprietary,Yes
